rank,complex,uf,source,group,confidence,eligible_GWh_REL_CNF,sobreoferta_GWh_ENE,operating_MW,spe_holders_siga
1,SERRA DO MEL B,RN,Wind,Echoenergia (Equatorial),H,950.59,176.88,478.8,VILA PIAUI 2 EMPREENDIMENTOS E PARTICIPACOES S.A.; VILA PIAUI 1 EMPREENDIMENTOS E PARTICIPACOES S.A.; VILA ALAGOAS II EMPREENDIMENTOS E PARTICIPACOES S.A
2,SERRA DO MEL A,RN,Wind,Casa dos Ventos,M,940.06,216.98,551.7,VENTOS DE VILA CEARA I SPE S.A; VENTOS DE VILA CEARA II SPE S.A; VENTOS DE VILA PARAIBA IV SPE S.A
3,CAJU,RN,Wind,Casa dos Ventos,M,670.66,248.58,685.8,VENTOS DE SANTA TEREZA 14 ENERGIAS RENOVAVEIS S.A.; VENTOS DE SANTA TEREZA 01 ENERGIAS RENOVAVEIS S.A.; VENTOS DE SANTA TEREZA 02 ENERGIAS RENOVAVEIS S.A.
4,JANAUBA,MG,Solar,Janaúba (Telefônica/Aegea AP),H,628.24,625.15,1336.8,TELEFONICA BRASIL S.A.; AGUAS DO RIO 4 SPE S.A; Janaúba I Geração Solar Energia S.A.
5,MONTE VERDE,RN,Wind,Central Eólica SPEs (RN/CE),M,581.43,237.21,418.2,CENTRAL EOLICA MONTE VERDE I S.A; CENTRAL EOLICA MONTE VERDE II S.A; CENTRAL EOLICA MONTE VERDE III S.A
6,SANTO AGOSTINHO,RN,Wind,Engie Brasil Energia,H,476.86,226.02,434.0,Eólica Santo Agostinho 1 S.A.; Eólica Santo Agostinho 2 S.A.; Eólica Santo Agostinho 3 S.A.
7,SERRA DO MEL II B,RN,Wind,— unmapped —,L,435.44,35.86,0.0,
8,JERUSALEM,RN,Wind,Central Eólica SPEs (RN/CE),M,407.21,197.13,260.4,CENTRAL EOLICA JERUSALEM I S.A.; CENTRAL EOLICA JERUSALEM II S.A.; CENTRAL EOLICA JERUSALEM III S.A.
9,SERRA DO MEL II A,RN,Wind,— unmapped —,L,401.96,45.14,0.0,
10,RIO DO VENTO,RN,Wind,Casa dos Ventos,M,388.13,370.08,504.0,VENTOS DE SANTA AMÉLIA ENERGIAS RENOVÁVEIS S/A; VENTOS DE SANTO ARTUR ENERGIAS RENOVAVEIS S/A; VENTOS DE SANTA ALICE ENERGIAS RENOVÁVEIS S/A
11,LARANJEIRAS,BA,Wind,Serena Energia,M,382.32,270.03,505.1,CARGILL AGRICOLA S A; ASSURUA 3 I ENERGIA S.A.; ASSURUA 3 II ENERGIA S.A.
12,NOVO HORIZONTE,BA,Wind,Casa dos Ventos,M,349.4,228.67,423.0,VENTOS DE SAO TEOFANO ENERGIAS RENOVAVEIS S.A.; VENTOS DE SAO TEONAS ENERGIAS RENOVAVEIS S.A.; VENTOS DE SAO THOMAS ENERGIAS RENOVAVEIS S.A.
13,CUMARU,RN,Wind,Enel Green Power Brasil,H,325.94,206.71,205.8,ENEL GREEN POWER CUMARU 01 S.A.; ENEL GREEN POWER CUMARU 05 S.A; ENEL GREEN POWER CUMARU 03 S.A
14,RIO DO VENTO EXPANSAO,RN,Wind,Casa dos Ventos,M,321.94,277.68,534.2,VENTOS DE SANTA LÍVIA ENERGIAS RENOVÁVEIS S.A.; VENTOS DE SÃO LUIGI ENERGIAS RENOVÁVEIS S.A.; VENTOS DE SÃO LEOPOLDO ENERGIAS RENOVÁVEIS S.A.
15,VISTA ALEGRE - JANAUBA,MG,Solar,Solar MG SPEs,M,312.55,320.63,767.6,VISTA ALEGRE VII ENERGIA SPE LTDA.; CENTRAL FOTOVOLTAICA VISTA ALEGRE XV SPE LTDA.; VISTA ALEGRE I ENERGIA SPE LTDA
16,IGAPORA II,BA,Wind,Serena Energia,M,285.56,166.06,294.4,CENTRAIS EOLICAS SERRA DO SALTO LTDA.; CENTRAIS EOLICAS ILHEUS LTDA.; CENTRAIS EOLICAS CANDIBA LTDA.
17,MOSSORO II,RN,Wind,Casa dos Ventos,M,283.28,187.54,407.9,USINA DE ENERGIA EOLICA CARCARA I SPE S.A.; USINA DE ENERGIA EOLICA CAICARA I SPE S.A.; USINA DE ENERGIA EOLICA CARCARA II SPE S.A.
18,SOL DO SERTAO,BA,Solar,Elera Renováveis (Brookfield),H,281.85,288.08,415.0,SOL DO SERTAO OB III ENERGIA SOLAR S.A; SOL DO SERTÃO OB I ENERGIA SOLAR LTDA; SOL DO SERTAO OB II ENERGIA SOLAR S.A
19,LAGOA DOS VENTOS,PI,Wind,Enel Green Power Brasil,H,279.62,321.88,716.5,ENEL GREEN POWER VENTOS DE SANTA ANGELA 1 S.A.; ENEL GREEN POWER VENTOS DE SANTA ANGELA 2 S.A.; ENEL GREEN POWER VENTOS DE SANTA ANGELA 3 S.A.
20,MONTE DO RONCA,RN,Wind,Casa dos Ventos,M,255.97,183.15,256.4,VENTOS DE SAO FERNANDO I ENERGIA S.A; VENTOS DE SAO FERNANDO II ENERGIA S.A.; VENTOS DE SAO FERNANDO III ENERGIA S.A
21,SERRA DO MEL C,RN,Solar,Serra do Mel solar SPEs,M,253.39,245.37,433.1,SOL SERRA DO MEL I SPE S.A; SOL SERRA DO MEL II SPE S.A; SOL SERRA DO MEL V SPE S.A
22,ARACATI II,CE,Wind,CPFL Energias Renováveis (State Grid),H,252.66,81.6,138.5,CPFL ENERGIAS RENOVÁVEIS S.A.
23,SERRA DO ASSURUA,BA,Wind,Engie Brasil Energia,H,252.32,215.5,846.0,EÓLICA SERRA DO ASSURUÁ 1 LTDA.; EÓLICA SERRA DO ASSURUÁ 2 LTDA.; EÓLICA SERRA DO ASSURUÁ 3 LTDA
24,SOL DO CERRADO,MG,Solar,— unmapped —,L,241.96,275.96,681.3,
25,ARINOS 2,MG,Solar,— unmapped —,L,240.59,452.75,0.0,
26,MORRO DO CHAPEU SUL II,BA,Wind,Enel Green Power Brasil,H,232.57,209.64,352.8,ENEL GREEN POWER VENTOS DE SANTA ESPERANCA 15 S.A.; ENEL GREEN POWER VENTOS DE SANTA ESPERANÇA 16 S.A.; ENEL GREEN POWER VENTOS DE SANTA ESPERANÇA 17 S.A.
27,AFONSO BEZERRA,RN,Wind,Cutia/União dos Ventos SPEs,M,225.52,97.13,159.6,AFONSO BEZERRA I GERACAO DE ENERGIA SPE S.A; AFONSO BEZERRA II GERACAO DE ENERGIA SPE S.A; AFONSO BEZERRA III GERACAO DE ENERGIA SPE S.A.
28,CUTIA,RN,Wind,Cutia/União dos Ventos SPEs,M,219.81,254.32,312.9,USINA DE ENERGIA EOLICA GUAJIRU S/A; USINA DE ENERGIA EOLICA JANGADA S/A; USINA DE ENERGIA EOLICA CUTIA S/A
29,JAIBA V,MG,Solar,Jaíba V (Sendas/Assaí AP),H,209.77,240.51,500.0,SENDAS DISTRIBUIDORA S/A; Jaíba CN Energias Renováveis S.A.; Jaíba CE Energias Renováveis S.A.
30,SERRA DA BABILONIA,BA,Wind,Serra da Babilônia / BA SPEs,M,207.52,177.3,505.2,EOLICA SERRA DA BABILONIA II S.A; EOLICA SERRA DA BABILONIA IX S.A; EOLICA SERRA DA BABILONIA VI S.A
31,VENTOS SANTA EUGENIA,BA,Wind,— unmapped —,L,206.29,128.46,0.0,
32,BELMONTE,PE,Solar,Belmonte (Mateus Supermercados AP),H,204.23,243.7,455.0,MATEUS SUPERMERCADOS S.A.; BELMONTE 1.1. PARQUE SOLAR S.A.; BELMONTE 1.2. PARQUE SOLAR S.A.
33,UMBURANAS,BA,Wind,Engie Brasil Energia,H,202.7,205.32,360.0,EOLICA UMBURANAS 5 S.A.; EOLICA UMBURANAS 1 S.A.; EOLICA UMBURANAS 2 S.A.
34,CAMPO LARGO,BA,Wind,Engie Brasil Energia,H,198.27,275.75,687.9,CLWP EOLICA PARQUE III S.A.; CLWP EOLICA PARQUE IV S.A.; CLWP EOLICA PARQUE V S.A.
35,ARACAS,BA,Wind,CENTRAIS EOLICAS VENTOS DO NORDESTE S/A (SPE only),L,195.84,107.9,167.7,CENTRAIS EOLICAS VENTOS DO NORDESTE S/A; CENTRAIS EOLICAS DA PRATA S.A; Centrais Eólicas dos Araçás S.A
36,BRISA POTIGUAR I,RN,Wind,Casa dos Ventos,M,193.72,126.92,183.6,NOVA ASA BRANCA I ENERGIAS RENOVAVEIS S.A; NOVA EURUS IV ENERGIAS RENOVAVEIS S.A; NOVA ASA BRANCA II ENERGIAS RENOVAVEIS S.A
37,SANTA CLARA,RN,Wind,Voltalia Brasil,M,192.14,135.78,188.0,SANTA CLARA I ENERGIAS RENOVAVEIS LTDA; SANTA CLARA III ENERGIAS RENOVAVEIS LTDA; SANTA CLARA VI ENERGIAS RENOVAVEIS LTDA
38,FUTURA,BA,Solar,Solar BA SPEs,M,189.38,312.59,692.4,SPE FUTURA 4 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A.; SPE FUTURA 1 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A.; SPE FUTURA 2 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A.
39,BLOCO SUL,RN,Wind,Casa dos Ventos,M,181.93,132.21,155.4,VENTOS DE SANTO DIMAS ENERGIAS RENOVAVEIS LTDA.; SAO BENEDITO ENERGIAS RENOVAVEIS LTDA; VENTOS DE SAO MARTINHO ENERGIAS RENOVAVEIS LTDA.
40,FOLHA LARGA,BA,Wind,Casa dos Ventos,M,175.39,139.5,344.4,PARQUE EOLICO VENTOS DE SAO JANUARIO 04 S.A; PARQUE EOLICO VENTOS DE SAO JANUARIO 05 S.A; PARQUE EOLICO VENTOS DE SAO JANUARIO 01 S.A
41,MARANGATU,PI,Solar,Voltalia Brasil,M,172.65,216.28,360.0,MARANGATU 4 ENERGIAS RENOVAVEIS S.A.; MARANGATU 5 ENERGIAS RENOVAVEIS S.A.; MARANGATU 6 ENERGIAS RENOVAVEIS S.A.
42,PITOMBEIRA,CE,Solar,ENERGIA DOS VENTOS II S.A (SPE only),L,169.79,105.08,98.7,ENERGIA DOS VENTOS II S.A; ENERGIA DOS VENTOS I S.A; ENERGIA DOS VENTOS III S.A
