dead_tariff_line,rulings_citing_it,six_digit_heading_status,newest_ruling_citing_it,example_ruling,verify_at
6211.42.00,1817,subdivided,2017-03-02,N283205,https://hts.usitc.gov/search?query=6211.42.00
6211.43.00,1506,subdivided,2017-02-02,N282430,https://hts.usitc.gov/search?query=6211.43.00
6201.93.35,889,gone entirely,2014-10-15,N257434,https://hts.usitc.gov/search?query=6201.93.35
6201.93.30,687,gone entirely,2014-07-15,N254784,https://hts.usitc.gov/search?query=6201.93.30
6404.19.35,673,subdivided,2012-02-15,N200955,https://hts.usitc.gov/search?query=6404.19.35
6110.10.20,586,gone entirely,2002-01-22,965184,https://hts.usitc.gov/search?query=6110.10.20
6203.43.40,562,subdivided,2015-10-16,N269005,https://hts.usitc.gov/search?query=6203.43.40
6203.42.40,543,subdivided,2014-03-27,N237166,https://hts.usitc.gov/search?query=6203.42.40
6202.93.50,519,gone entirely,2015-04-21,N263240,https://hts.usitc.gov/search?query=6202.93.50
6210.40.50,506,subdivided,2015-02-18,N261017,https://hts.usitc.gov/search?query=6210.40.50
6204.62.40,492,subdivided,2013-08-28,N245256,https://hts.usitc.gov/search?query=6204.62.40
6402.99.18,482,subdivided,2007-02-07,N005758,https://hts.usitc.gov/search?query=6402.99.18
6505.90.60,474,gone entirely,2012-01-05,N196588,https://hts.usitc.gov/search?query=6505.90.60
6307.90.99,451,subdivided,2007-12-10,N019940,https://hts.usitc.gov/search?query=6307.90.99
6204.63.35,398,subdivided,2015-04-08,N263556,https://hts.usitc.gov/search?query=6204.63.35
6202.92.20,357,gone entirely,2011-03-22,N150584,https://hts.usitc.gov/search?query=6202.92.20
6202.93.45,346,gone entirely,2015-04-21,N263240,https://hts.usitc.gov/search?query=6202.93.45
6201.92.20,329,gone entirely,2010-04-27,N100481,https://hts.usitc.gov/search?query=6201.92.20
6211.33.00,309,subdivided,2018-06-19,H265483,https://hts.usitc.gov/search?query=6211.33.00
6211.49.90,283,subdivided,2008-11-26,N045159,https://hts.usitc.gov/search?query=6211.49.90
6505.90.80,269,gone entirely,2011-09-01,N178487,https://hts.usitc.gov/search?query=6505.90.80
6505.90.20,227,gone entirely,2011-08-17,N175674,https://hts.usitc.gov/search?query=6505.90.20
6304.91.00,196,subdivided,2021-12-06,N322667,https://hts.usitc.gov/search?query=6304.91.00
6402.99.30,184,subdivided,2007-02-07,N005758,https://hts.usitc.gov/search?query=6402.99.30
