root,name,ucs,ufs,dist
45955360,CONSORCIO CEMIG SIM GD I,459323,MG,CEMIG-D
33896601,CONSORCIO ENERGIA LIVRE,340830,"MG,SP","CEMIG-D,EDP SP,EMR,ESS"
35705491,CONSORCIO COMERC ENERGIA MG,205791,MG,CEMIG-D
46297631,CONSORCIO ENERGIA DE TODOS,143404,MG,CEMIG-D
43581971,BULBE ENERGIA COOPERATIVA,128146,MG,CEMIG-D
45955633,CONSORCIO CEMIG SIM GD III,116704,MG,CEMIG-D
47387900,CONSÓRCIO AVANTTI METHA,56069,MG,CEMIG-D
35802746,COOPERATIVA BRASILEIRA DE GERACAO DISTRIBUIDA,48634,"BA,ES,MA,MG,PB,PR,RS,SC,SP","CEEE-D,CELESC,CEMIG-D,COELBA,COPEL-DIS,C"
36402848,COOPERATIVA ORIGO GERACAO DISTRIBUIDA,34384,"MG,MS","CEMIG-D,EMS"
28307135,COOPERATIVA DE GERACAO COMPARTILHADA COGECOM,25983,"MS,PR,RS,SC,SP","CEEE-D,CELESC,CERMISSÕES,COPEL-DIS,CPFL-"
35629598,CONSORCIO UFV MIRABELA,24938,MG,CEMIG-D
43347674,COOPERATIVA BRASILEIRA ESFERA GER DIST,23323,MG,CEMIG-D
40765256,VEINS ENERGIA COOPERATIVA LTDA VECOOP,22038,MG,CEMIG-D
49351967,FIT ASSOCIACAO DE CONSUMIDORES DE ENERGIA DE GERACAO DISTRIBUIDA,18654,"BA,PI,PR,RS,SC,SP","CEEE-D,CELESC,COELBA,COPEL-DIS,ELEKTRO,E"
65806744,CONSORCIO IGREEN CONNECT,14666,MG,CEMIG-D
45318049,COOPERATIVA EVOLUA MINAS,14483,MG,CEMIG-D
35379794,CONSORCIO EVOLUA ENERGIA 1,13387,MG,CEMIG-D
40180455,COOPERATIVA EVOLUA ENERGIA,13116,MG,CEMIG-D
58319386,BULBE ENERGIA COOPERATIVA II,12774,MG,CEMIG-D
48275784,COOPERATIVA TERENAS ENERGIA,12093,"ES,PR,SP","COPEL-DIS,CPFL-PAULISTA,EDP ES,EDP SP"
45955621,CONSORCIO CEMIG SIM GD II,11805,MG,CEMIG-D
50945983,ASSOCIACAO SAO FRANCISCO ENERGIA SOLAR,11573,MG,CEMIG-D
38185835,COOPERATIVA DE ENERGIA COTESA,10773,"MT,PR,RS,SC,SP","CEEE-D,CELESC,CERMISSÕES,CERTEL ENERGIA,"
